Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
La que paga,NFCDCH-02-C8VKM6AFNALHJ349AH8MRMXG9WYQMC,Chrome PC (Cadmium),,,,,,,,,
La que paga,NFANDROID1-SAMSUGT-P3113S-28F0863A9D259A02D2B702F94468CE4FF49B32F2BD85E88E43E1461D56844C92,Mobile,,,,,,,,,
La que paga,NFANDROID1-LGE==LGLS665S-98A36CD21F09F8F6B40E50A5A023251FA788B04B8A7A2BD3E342EC1574F83719,Mobile,,,,,,,,,
La que paga,NFCDCH-02-C4ZAERF73WAP2H6GP7HW8NFFQ911ZP,Chrome PC (Cadmium),,,,,,,,,
La que paga,NFCDSF-01-AJNLUEVKA2YLP58ND5E1WXAQ15EW2U,Safari MAC (Cadmium),,,,,,,,,
La que paga,NFCDCH-02-C23FLR28C2PLNYYCRTL1LKP1YHNUPT,Chrome PC (Cadmium),,,,,,,,,
La que paga,NFCDCH-02-C116JYRK4YDCXMGP594266CLHA6TNY,Chrome PC (Cadmium),,,,,,,,,
La que paga,NFCDCH-02-AWXD7EAPCJ8VUVJ9T12XP4FCN3QRJ7,Chrome PC (Cadmium),,,,,,,,,
La que paga,NFCDCH-02-AVELUC3XEVEKD4CXL98HH2H8QNVF2C,Chrome PC (Cadmium),,,,,,,,,
La que paga,SLW32-EJH9HN3XH1JF1F8NQYV3H60HAM,PC,,,,,,,,,
La que paga,NFCDCH-02-AJW4RZ5H2X3P296374CG44RCH5KAKL,Chrome PC (Cadmium),,,,,,,,,
La que paga,NFCDCH-02-AH4TC5L6TH10X297EY5XX78FA8KXAL,Chrome PC (Cadmium),,,,,,,,,
La que paga,NFCDCH-02-AARXRVA24FP152X659812D8U9K192U,Chrome PC (Cadmium),,,,,,,,,
La que paga,NFCDCH-02-AAPLUHNT6TF557DA9F591EMDZCDLNW,Chrome PC (Cadmium),,,,,,,,,
La que paga,NFCDCH-02-AAPLUHT2YU637F7NUNH8YNL8EAFNCN,Chrome PC (Cadmium),,,,,,,,,
La que paga,NFCDSF-01-A9J9YCK6R7QWUAQ7RCE6K8EVC6AYV4,Safari MAC (Cadmium),,,,,,,,,
La que paga,NFAPPL-02-IPHONE5=2-B7D72DD510470C53C9E8EF9272C4AA5C80DB4C7018A2F54F6D16B0AB84A8E18C,Apple iPhone 5 with CDMA,,,,,,,,,
La que paga,NFCDSF-01-A7KH043JC2AWTZ2KXUEYWK4Y55CHVE,Safari MAC (Cadmium),,,,,,,,,
La que paga,NFCDSF-01-40QM0MYLNCNDM2X8TTVX76L3YR,Safari MAC (Cadmium),,,,,,,,,
La que paga,SLW32-FUFJRN3W1P61T8FHJ20UHFCMW8,PC,,,,,,,,,
La que paga,SLMAC-40QM0MYLNCNDM2X8TTVX76L3YR,Mac,,,,,,,,,
La que paga,SLW32-UL3WYMP8FYVV46FYEQC6814N20,PC,,,,,,,,,
La que paga,WWW-BROWSE-H0M5M5UA55WNGWN4URPVF5QQJ6R7GA,Netflix WWW-BROWSER UNSUPPORTED BROWSER,,,,,,,,,
La que paga,SLW32-5VP5RLL9EW6DYW2L8YYJ3LXXNM,PC,,,,,,,,,
La que paga,SLW32-NT4EKMJVF09T9J5YJ6HUHVWXFD,PC,,,,,,,,,
La que paga,NFCDCH-MC-GTJ8KA2WWJYP9VVX48W29V5YP14VCE,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,
La que paga,NFANDROID1-AMAZOKFTHWIS-4A3A0E4E9605AEEDC645CAA24EEAE4F446526CD2F73C7E7937DDAC934C4FA789,Mobile,,,,,,,,,
La que paga,NFCDCH-MC-H1Y9FXLPV5FQNYRK36CFE8FUNN9ECK,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,
La que paga,SLW32-5WKT8LT7WQDHKZ6VMJFX59NY3D,PC,,,,,,,,,
La que paga,SLW32-MXVXYLAEL5PWY55A9XTMGWMW70,PC,,,,,,,,,
La que paga,NFANDROID1-PRV-P-GOOGLPIXEL=4=XL-13674-007718AE2ADA0A2ADDE97C9F91E97FD68148C6C9C233B0853711C1F2E0D2C8EBD,DefaultWidevineAndroidPhone,,,,,,,,,
La que paga,NFANDROID1-TCT==ALCATEL=ONE=TOUCH=FIERCES-D3104DDAC867D172491868A3CAB1F45E4ACA60734ED584DFBC32AA7882A03A23,Mobile,,,,,,,,,
La que paga,NFANDROID1-HTC==MYTOUCH=4G=SLIDES-AEBBF0FD9F8338302057D59B7EFBFC9EFCB39805685D2A15B65813AF3CC181CB,Mobile,,,,,,,,,
La que paga,NFWPH-001-5X9Q2H0-Y89L6WH-QDZLFJE36QTGQVWHG5VLQ6VTF1REFPVV,HTC HD7 (Schubert),,,,,,,,,
La que paga,NFCDCH-MC-H9NZX65T2TTH03M9WLJ3AJEY9WQ4KH,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,
La que paga,SLMAC-H4UDHMQH3LRXK3K5E1J5NQQXM4,Mac,,,,,,,,,
La que paga,SLW32-0NEY2MKZW3U9C76V4A5JXXGA4D,PC,,,,,,,,,
La que paga,SLW32-UNM3KLHHV1UK1F7L23L5HZ8LHH,PC,,,,,,,,,
La que paga,NFCDCH-02-CKW30W3C6YWAKE4A7NM9PEH0T3GW99,Chrome PC (Cadmium),,,,,,,,,
La que paga,SLW32-RUNXDMMLP821WPL7D1LLNXXCJM,PC,,,,,,,,,
La que paga,SLW32-8GMEYMLV6X4A1M0KDTTG6RKK84,PC,,,,,,,,,
La que paga,NFAPPL-02-IPHONE15=2-99B54E830886E61A52C63401ADB27E0E493D14E2D6826B5DF14D40F106EEFCF7,Apple iPhone 14 Pro iPhone,2023-03-10T18:45:58.582Z,2023-04-29T17:26:16.848Z,2023-03-10T18:45:58.582Z,2023-04-29T17:26:16.848Z,2023-03-10T18:45:58.582Z,2023-04-29T17:26:16.848Z,2023-03-10T18:45:58.582Z,2023-04-29T17:26:16.848Z,2023-04-26T18:08:16.943Z
La que paga,GOOGCAP0010000000000000025787328,Google Chromecast V5 Streaming Stick,2023-05-16T00:57:12.766Z,2023-05-16T00:57:12.766Z,2023-05-16T00:57:12.766Z,2023-05-16T00:57:12.766Z,2023-05-16T00:57:12.766Z,2023-05-16T00:57:12.766Z,2023-05-16T00:57:12.766Z,2023-05-16T00:57:12.766Z,2023-05-17T18:22:08.204Z
La que paga,ENSEO-330X00000000000000000000000000014476,Enseo HD3300 CKW MVPD Hotel STB,2023-04-22T22:06:06.056Z,2023-04-26T17:44:16.948Z,2023-04-22T22:06:06.056Z,2023-04-26T17:44:16.948Z,2023-04-22T22:06:06.056Z,2023-04-26T17:44:16.948Z,2023-04-22T22:06:06.056Z,2023-04-26T17:44:16.948Z,2023-04-26T18:08:16.943Z
La que paga,SSTV-KTSU-0000000000000014106690,Samsung 2018 Kant-S UHD TV Smart TV,2023-01-20T03:48:35.816Z,2023-01-20T03:51:03.689Z,2023-01-20T03:51:03.689Z,2023-01-20T03:51:03.689Z,2023-01-20T03:48:35.816Z,2023-01-20T03:51:03.689Z,2023-01-20T03:51:03.689Z,2023-01-20T03:51:03.689Z,2023-04-26T18:08:16.943Z
La que paga,NFANDROID1-PRV-T-LENOVTB328FU-23984-6ED2D5BFF9E6ECA1110D7300E961CC09DDF10FED7F3C120343CC798AF1DD2764,DefaultWidevineAndroidTablets,2022-12-21T00:59:06.312Z,2022-12-26T18:41:29.974Z,2022-12-21T00:59:06.312Z,2022-12-26T18:41:29.974Z,2022-12-21T00:59:06.312Z,2022-12-26T18:41:29.974Z,2022-12-21T00:59:06.312Z,2022-12-26T18:41:29.974Z,2023-04-26T18:08:16.943Z
La que paga,NFANDROID1-PRV-S-L3-LENOVTB328FU-22589-3CFAB2D5CE770CA084B97ECF5B8A097F1259E6197381AD02B3610DD910139677,Netflix MobileSignupStubRelease Android,,,,,,,,,2023-04-26T18:08:16.943Z
La que paga,NFANDROID1-PRV-P-OPPO=CPH2365-21002-0BDF1F88CEBDA8134484A62768B64FCF615EB89DFC9FDCBFBA23D1EB4B544680B,DefaultWidevineAndroidPhone,,,,,,,,,2023-04-26T18:08:16.943Z
La que paga,GOOGCAP0010000000000000011265940,Google Chromecast V5 Streaming Stick,2022-12-09T07:09:27.744Z,2022-12-10T17:06:07.907Z,2022-12-09T07:09:27.744Z,2022-12-10T17:06:07.907Z,2022-12-09T07:09:27.744Z,2022-12-10T17:06:07.907Z,2022-12-09T07:09:27.744Z,2022-12-10T17:06:07.907Z,2023-04-26T18:08:16.943Z
La que paga,NFANDROID2-PRV-SABRINA-GOOGLCHROMECAST-21670-A338B787ACE07206419C58E19AAEA5CD6DFC4C8C0C57388DDE39CB24B92518E5,Google Sabrina ATV Set Top Box,2022-12-02T02:20:30.852Z,2023-04-17T01:00:58.623Z,2022-12-02T02:59:14.567Z,2023-04-17T01:00:58.623Z,2022-12-02T02:20:30.852Z,2023-04-17T01:00:58.623Z,2022-12-02T02:59:14.567Z,2023-04-17T01:00:58.623Z,2023-04-26T18:08:16.943Z
La que paga,CMCSTX1007-0020010F100CC072-F0463B60609B,Comcast X1 Arm 4k XiOne MVPD STB,,,,,,,,,2023-04-26T18:08:16.943Z
La que paga,NFANDROID1-PRV-P-HUAWEHMA-L09-8359-4D19F87424220D3CB8195AC4715F5A3DBF0E07A794E9EA9A21A39CE4D91A191C,DefaultWidevineAndroidPhone,,,,,,,,,2023-04-26T18:08:16.943Z
La que paga,NFCDSF-PH-JML38A7K4EQKXCGUYKCV0ML4454LDW,Netflix iPhone-Safari iPhone,,,,,,,,,2023-04-26T18:08:16.943Z
La que paga,CMCSTX1005-000C010D032A5D54-704FB8760EA3,Comcast X1 ARM 4K MVPD STB,2022-10-14T03:37:06.800Z,2022-10-14T04:07:42.676Z,2022-10-14T03:37:06.800Z,2022-10-14T04:07:42.676Z,2022-10-14T03:37:06.800Z,2022-10-14T04:07:42.676Z,2022-10-14T03:37:06.800Z,2022-10-14T04:07:42.676Z,2023-04-26T18:08:16.943Z
La que paga,NFANDROID2-PRV-SONYANDROIDTV2022M5-SONY=BRAVIA=4K=VH21-22653-77194191D8A3CD01361C3AD3BCED879B005290BFF12983F9F36EE6CB98680010,Sony CE Sony Android TV 2022 M5 Smart TV,2022-10-14T03:16:20.772Z,2022-10-16T22:32:14.539Z,2022-10-14T03:16:20.772Z,2022-10-16T22:32:14.539Z,2022-10-14T03:16:20.772Z,2022-10-16T22:32:14.539Z,2022-10-14T03:16:20.772Z,2022-10-16T22:32:14.539Z,2023-04-26T18:08:16.943Z
La que paga,NFCDSF-PH-JEHU1LP6AAL35RTULQM9HD3WAMR4LL,Netflix iPhone-Safari iPhone,,,,,,,,,2023-04-26T18:08:16.943Z
La que paga,NFAPPL-02-IPHONE14=2-9B7175A22F1C8EC3BD7DADEB768E5979695789E62711D3C27675E1935CBC7196,Apple iPhone 13 Pro,2022-07-19T01:33:22.532Z,2023-04-17T02:58:41.900Z,2022-07-19T01:33:22.532Z,2023-04-17T02:58:41.900Z,2022-07-19T01:33:22.532Z,2023-04-17T02:58:41.900Z,2022-07-19T01:33:22.532Z,2023-04-17T02:58:41.900Z,2023-04-26T18:08:16.943Z
La que paga,GOOGCAP0010000000000000005974491,Google Chromecast V5 Streaming Stick,2021-08-03T18:40:49.182Z,2022-11-30T23:50:10.211Z,2021-08-03T18:40:49.182Z,2022-11-30T23:50:10.211Z,2021-08-03T18:40:49.182Z,2022-11-30T23:50:10.211Z,2021-08-03T18:40:49.182Z,2022-11-30T23:50:10.211Z,2023-04-26T18:08:16.943Z
La que paga,NFCDCH-02-J947X8Q5A0FG6THGAHK5XE68GW8E2W,Chrome PC (Cadmium),2022-05-28T13:16:18.192Z,2022-05-31T14:16:33.177Z,2022-05-28T13:16:18.192Z,2022-05-31T14:16:33.177Z,2022-05-28T13:16:18.192Z,2022-05-31T14:16:33.177Z,2022-05-28T13:16:18.192Z,2022-05-31T14:16:33.177Z,2023-04-26T18:08:16.943Z
La que paga,NFCDCH-MC-J82R6TGELEDJXFVXNE30W4MG8XJ2AQ,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,2023-04-26T18:08:16.943Z
La que paga,NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-BA5BB74BAE012DD8682C4AAFE5572B87FFADD7AA1543BC9A8BC95686CE0FC909,FireTV Stick 2016,2021-11-27T05:35:27.556Z,2022-05-13T06:52:51.068Z,2021-11-27T05:38:48.604Z,2022-05-13T06:52:51.068Z,2021-11-27T05:35:27.556Z,2022-05-13T06:52:51.068Z,2021-11-27T05:38:48.604Z,2022-05-13T06:52:51.068Z,2023-04-26T18:08:16.943Z
La que paga,NFCDCH-02-J5MAK846EMDQ9P7QNEYK85FJX1865A,Chrome PC (Cadmium),2022-04-16T02:31:06.372Z,2022-04-16T02:31:17.575Z,2022-04-16T02:31:06.372Z,2022-04-16T02:31:17.575Z,2022-04-16T02:31:06.372Z,2022-04-16T02:31:17.575Z,2022-04-16T02:31:06.372Z,2022-04-16T02:31:17.575Z,2023-04-26T18:08:16.943Z
La que paga,NFANDROID1-PRV-P-HUAWEHMA-L09-8359-095783A2965424F98A1CD42088046DA69BA931135B9B4702AA32B3F56C23D97F2,DefaultWidevineAndroidPhone,2021-06-20T22:09:35.416Z,2022-10-13T23:21:31.164Z,2021-06-20T22:09:35.416Z,2022-10-13T23:21:31.164Z,2021-06-20T22:09:35.416Z,2022-10-13T23:21:31.164Z,2021-06-20T22:09:35.416Z,2022-10-13T23:21:31.164Z,2023-04-26T18:08:16.943Z
La que paga,NFUWA-001-242A2A2081FED280AB4C71CE2B688AB82D2673F949E87D7236AA6499509E0A628CEF91E9C29902E73357152783A85AA49B90F2999D2E26AC0F54F13DF44A85DF,Netflix Windows App - Cadmium Windows Mobile,2022-03-30T03:58:29.787Z,2022-03-30T04:31:46.696Z,2022-03-30T03:58:29.787Z,2022-03-30T04:31:46.696Z,2022-03-30T03:58:29.787Z,2022-03-30T04:31:46.696Z,2022-03-30T03:58:29.787Z,2022-03-30T04:31:46.696Z,2023-04-26T18:08:16.943Z
La que paga,NFCDCH-01-HZT7VZE7Y4Q0YV5UXWEMKLQ2GDN6LV,Chrome OS (Cadmium),2022-02-04T03:40:25.507Z,2022-09-30T21:32:19.191Z,2022-02-04T03:40:57.742Z,2022-09-30T21:32:19.191Z,2022-02-04T03:40:25.507Z,2022-09-30T21:32:19.191Z,2022-02-04T03:40:57.742Z,2022-09-30T21:32:19.191Z,2023-04-26T18:08:16.943Z
La que paga,NFANDROID1-PRV-P-OPPO=CPH2205-19879-0A07480E1945D67CD7396BF1D17709F6EAF1A4632CB8B21754DEE911F64BECFE9,DefaultWidevineAndroidPhone,2022-01-31T05:49:37.183Z,2022-10-04T23:44:12.175Z,2022-01-31T05:49:37.183Z,2022-10-04T23:44:12.175Z,2022-01-31T05:49:37.183Z,2022-10-04T23:44:12.175Z,2022-01-31T05:49:37.183Z,2022-10-04T23:44:12.175Z,2023-04-26T18:08:16.943Z
La que paga,NFAPPL-02-IPHONE13=1-99B54E830886E61A52C63401ADB27E0E493D14E2D6826B5DF14D40F106EEFCF7,iPhone 12 Mini,2022-01-10T00:04:39.359Z,2023-02-24T02:21:46.552Z,2022-01-10T00:04:39.359Z,2023-02-24T02:03:13.772Z,2022-01-10T00:04:39.359Z,2023-02-24T02:21:46.552Z,2022-01-10T00:04:39.359Z,2023-02-24T02:03:13.772Z,2023-04-26T18:08:16.943Z
La que paga,NFCDCH-MC-F24UH4W527P89VJVGAR27JWALKLE8N,Netflix Chrome MAC (Cadmium) HTML 5,2021-08-25T03:49:20.232Z,2023-02-25T17:44:21.828Z,2021-08-25T03:49:20.232Z,2023-02-25T17:01:53.592Z,2021-08-25T03:49:20.232Z,2023-02-25T17:44:21.828Z,2021-08-25T03:49:20.232Z,2023-02-25T17:01:53.592Z,2023-04-26T18:08:16.943Z
La que paga,RKU-8XXXX-YK00PM570078,Roku Midland Smart TV,2021-06-20T22:09:45.516Z,2022-12-30T06:59:27.420Z,2021-06-20T22:10:36.774Z,2022-12-30T06:34:52.102Z,2021-06-20T22:09:45.516Z,2022-12-30T06:59:27.420Z,2021-06-20T22:10:36.774Z,2022-12-30T06:34:52.102Z,2023-04-26T18:08:16.943Z
La que paga,NFAPPL-02-IPHONE11=2-F538619B27BA94B43F4DC3C12DC269CDD48FC475A4CC79B13F2B86BDCC0F680F,Apple iPhone XS,2021-08-02T13:53:50.060Z,2022-07-02T06:15:08.744Z,2021-08-02T13:53:50.060Z,2022-07-02T06:15:08.744Z,2021-08-02T13:53:50.060Z,2022-07-02T06:15:08.744Z,2021-08-02T13:53:50.060Z,2022-07-02T06:15:08.744Z,2023-04-26T18:08:16.943Z
