Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
El amigo de la que paga,SSTV-PTM2-0000000000000001250041,Samsung CE 2022 Pontus-M Smart TV,2022-11-17T21:13:48.620Z,2023-08-02T01:15:41.126Z,2022-11-17T21:15:14.814Z,2023-08-02T01:15:41.126Z,2022-11-17T21:13:48.620Z,2023-08-02T01:15:41.126Z,2022-11-17T21:15:14.814Z,2023-08-02T01:15:41.126Z,
La tia de la que paga,NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,DefaultWidevineAndroidPhone,2022-10-05T22:41:09.798Z,2023-08-01T23:41:44.627Z,2022-10-05T22:41:09.798Z,2023-08-01T23:41:44.627Z,2022-10-05T22:41:09.798Z,2023-08-01T23:41:44.627Z,2022-10-05T22:41:09.798Z,2023-08-01T23:41:44.627Z,
El amigo de la que paga,NFAPPL-02-IPHONE15=2-E45DBCF73A013E902E1FEA69D0366A3018729C1F738B2D9B229D4B6B0645D7A7,Apple iPhone 14 Pro iPhone,2023-05-16T00:56:35.892Z,2023-08-01T20:32:45.574Z,2023-05-16T00:56:35.892Z,2023-08-01T20:32:45.574Z,2023-05-16T00:56:35.892Z,2023-08-01T20:32:45.574Z,2023-05-16T00:56:35.892Z,2023-08-01T20:32:45.574Z,
El amigo de la que paga,NFXONE-02-7JA988FM8ETE3HCNSV1DCZ47P2MKCTZ8XSA5D225HE19WPCDZS,Microsoft Xbox One,2021-10-19T19:07:32.796Z,2023-07-31T06:58:06.871Z,2021-10-19T19:07:50.348Z,2023-07-31T06:16:14.055Z,2021-10-19T19:07:32.796Z,2023-07-31T06:58:06.871Z,2021-10-19T19:07:50.348Z,2023-07-31T06:16:14.055Z,
La tia de la que paga,RKU-8XXXX-YK00E6078266,Roku Midland Smart TV,2021-07-17T17:12:25.401Z,2023-07-30T06:00:20.724Z,2021-07-18T03:02:42.137Z,2023-07-30T06:00:20.724Z,2021-07-17T17:12:25.401Z,2023-07-30T06:00:20.724Z,2021-07-18T03:02:42.137Z,2023-07-30T06:00:20.724Z,
El amigo de la que paga,NFXBSX-02-1TPPMB6RH95ZGTM9WZCTHSPP003R9DVD5UDFWW38ECNDV7FT2Y07,Microsoft Xbox Series S,2022-10-21T02:51:57.873Z,2023-07-15T22:30:43.564Z,2022-10-21T02:51:57.873Z,2023-07-15T22:30:43.564Z,2022-10-21T02:51:57.873Z,2023-07-15T22:30:43.564Z,2022-10-21T02:51:57.873Z,2023-07-15T22:30:43.564Z,
La tia de la que paga,NFANDROID1-PRV-T-LENOVTB328FU-23984-95F8A9D05C8CA7022101C5CF8873FE7CFD3AF71A4D52A63B94C6CF667A277B92,DefaultWidevineAndroidTablets,2023-02-25T20:30:39.883Z,2023-06-26T01:49:44.011Z,2023-02-25T20:30:39.883Z,2023-06-26T01:49:44.011Z,2023-02-25T20:30:39.883Z,2023-06-26T01:49:44.011Z,2023-02-25T20:30:39.883Z,2023-06-26T01:49:44.011Z,
El amigo de la que paga,GOOGCAP0010000000000000025787328,Google Chromecast V5 Streaming Stick,2023-05-16T00:57:12.766Z,2023-05-16T00:57:12.766Z,2023-05-16T00:57:12.766Z,2023-05-16T00:57:12.766Z,2023-05-16T00:57:12.766Z,2023-05-16T00:57:12.766Z,2023-05-16T00:57:12.766Z,2023-05-16T00:57:12.766Z,
El amigo de la que paga,NFAPPL-02-IPHONE15=2-99B54E830886E61A52C63401ADB27E0E493D14E2D6826B5DF14D40F106EEFCF7,Apple iPhone 14 Pro iPhone,2023-03-10T18:45:58.582Z,2023-04-29T17:26:16.848Z,2023-03-10T18:45:58.582Z,2023-04-29T17:26:16.848Z,2023-03-10T18:45:58.582Z,2023-04-29T17:26:16.848Z,2023-03-10T18:45:58.582Z,2023-04-29T17:26:16.848Z,
El amigo de la que paga,RKU-8XXXX-YK00E6078266,Roku Midland Smart TV,2021-07-17T17:12:25.401Z,2023-07-30T06:00:20.724Z,2021-07-18T03:02:42.137Z,2023-07-30T06:00:20.724Z,2023-03-05T05:04:39.366Z,2023-03-05T05:04:39.366Z,,,
