Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
La que paga,Season 4 Character Intro Clip: Too Hot to Handle,Google Sabrina ATV Set Top Box,2023-07-29 02:21:35,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2955,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3171,""mediaOffsetMs"":83},{""eventType"":""stopped"",""sessionOffsetMs"":6093,""mediaOffsetMs"":83}]"
La que paga,Season 1 Cliffhanger Clip: How to Become a Cult Leader,Google Sabrina ATV Set Top Box,2023-07-29 02:21:33,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1931,""mediaOffsetMs"":0}]"
La que paga,"Earthstorm: Season 1: ""Tornado""",Google Sabrina ATV Set Top Box,2023-07-29 01:51:24,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":7893,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":38016,""mediaOffsetMs"":30120},{""eventType"":""playing"",""sessionOffsetMs"":49672,""mediaOffsetMs"":41760},{""eventType"":""playing"",""sessionOffsetMs"":62403,""mediaOffsetMs"":54480},{""eventType"":""playing"",""sessionOffsetMs"":82643,""mediaOffsetMs"":74720},{""eventType"":""playing"",""sessionOffsetMs"":90670,""mediaOffsetMs"":82760},{""eventType"":""paused"",""sessionOffsetMs"":1800915,""mediaOffsetMs"":1791211},{""eventType"":""stopped"",""sessionOffsetMs"":1802587,""mediaOffsetMs"":1792240}]"
La que paga,Season 1 Cliffhanger Clip 2: Earthstorm,Google Sabrina ATV Set Top Box,2023-07-29 01:51:17,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3157,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":7340,""mediaOffsetMs"":3470},{""eventType"":""stopped"",""sessionOffsetMs"":8617,""mediaOffsetMs"":3882}]"
La que paga,Season 1 Informative Clip: Our Universe,Google Sabrina ATV Set Top Box,2023-07-29 01:51:16,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1671,""mediaOffsetMs"":0}]"
La que paga,Season 1 Relatable Clip: Ancient Apocalypse,Google Sabrina ATV Set Top Box,2023-07-29 01:51:15,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2683,""mediaOffsetMs"":0}]"
La que paga,Trailer: Muscles & Mayhem: An Unauthorized Story of American Gladiators,Google Sabrina ATV Set Top Box,2023-07-29 01:51:10,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2692,""mediaOffsetMs"":0}]"
La que paga,Season 2 Trailer: Catching Killers: Season 2,Google Sabrina ATV Set Top Box,2023-07-29 01:51:08,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1895,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2157,""mediaOffsetMs"":90},{""eventType"":""stopped"",""sessionOffsetMs"":3327,""mediaOffsetMs"":187}]"
La que paga,Character Intro Clip: Take Care of Maya,Google Sabrina ATV Set Top Box,2023-07-29 01:51:05,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2895,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3238,""mediaOffsetMs"":19},{""eventType"":""stopped"",""sessionOffsetMs"":4814,""mediaOffsetMs"":19}]"
La que paga,Limited Series Teaser: Bling Ring: Hollywood Heist,Google Sabrina ATV Set Top Box,2023-07-29 01:51:01,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2393,""mediaOffsetMs"":0}]"
La que paga,Season 1 High Context Clip 2: Chimp Empire,Google Sabrina ATV Set Top Box,2023-07-29 01:50:58,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2850,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3817,""mediaOffsetMs"":822},{""eventType"":""stopped"",""sessionOffsetMs"":5868,""mediaOffsetMs"":822}]"
La que paga,Studio 54_hook_primary_16x9,Google Sabrina ATV Set Top Box,2023-07-29 01:50:56,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2504,""mediaOffsetMs"":0}]"
