Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
La que paga,US,iPhone,0,take your pills,Take Your Pills,select,title_results,2022-12-24 00:46:37
La que paga,US,iPhone,0,explained,,select,title_results,2022-12-24 00:46:14
La que paga,US,iPhone,0,mind,,select,title_results,2022-12-24 00:46:04
La que paga,US,iPhone,0,mind,,select,title_results,2022-12-24 00:44:50
La que paga,US,iPhone,0,aubrey plaza,"Easy: Season 1: ""The F**king Study""",play,title_results,2022-12-21 03:56:52
La que paga,US,iPhone,0,aubrey plaza,,select,title_results,2022-12-21 03:56:39
La que paga,US,iPhone,0,,Emily the Criminal,select,prequery_results,2022-12-21 03:34:53
La que paga,US,iPhone,0,rebel,,select,title_results,2022-12-19 19:57:32
La que paga,US,iPhone,0,ugly,,select,title_results,2022-12-19 01:54:11
La que paga,US,iPhone,0,african american food,,select,title_results,2022-12-19 01:53:33
La que paga,MX,iPhone,0,,"Wednesday: Season 1: ""Woe Is the Loneliest Number""",play,prequery_results,2022-12-15 04:40:17
La que paga,MX,iPhone,0,,,select,prequery_results,2022-12-15 04:40:06
La que paga,US,iPhone,0,club ,,select,title_results,2022-11-25 14:11:07
La que paga,US,iPhone,0,interv,,select,title_results,2022-11-23 23:38:05
La que paga,US,iPad,0,chefs,"Chef's Table: BBQ: Volume 1: ""Rosalia Chay Chuc""",play,title_results,2022-11-21 01:34:29
La que paga,US,iPad,0,chefs,,select,title_results,2022-11-21 01:33:31
La que paga,US,iPhone,0,chef,,select,title_results,2022-11-20 23:02:35
La que paga,US,XBOX SS,0,amer,,select,suggestion_results,2022-11-16 01:41:21
La que paga,US,XBOX SS,0,amer,,select,suggestion_results,2022-11-16 01:41:21
La que paga,US,iPhone,0,history,#AnneFrank - Parallel Stories,add,title_results,2022-11-10 23:57:35
La que paga,US,iPhone,0,louisiana,Marked,select,title_results,2022-11-10 23:55:59
La que paga,US,iPhone,0,louisiana,,select,title_results,2022-11-10 23:51:47
La que paga,US,iPhone,0,louisiana,The Water Man,select,title_results,2022-11-10 23:51:21
La que paga,US,iPhone,0,the watcher,,select,title_results,2022-10-28 01:44:41
La que paga,US,iPhone,0,the watcher,,select,title_results,2022-10-28 01:20:39
La que paga,US,iPhone,0,stockh,,select,title_results,2022-10-25 01:22:23
La que paga,US,iPhone,0,a trip to,A Trip to Infinity,add,title_results,2022-10-19 04:26:21
La que paga,US,iPhone,0,a trip to,A Trip to Infinity,select,title_results,2022-10-19 04:26:18
La que paga,US,iPhone,0,human,,select,title_results,2022-10-16 02:43:48
La que paga,US,iPhone,0,future,,select,title_results,2022-10-14 04:24:17
La que paga,US,iPhone,0,ted b,"Extremely Wicked, Shockingly Evil and Vile",select,title_results,2022-09-29 03:36:56
La que paga,US,iPhone,0,dah,,add,title_results,2022-09-21 14:47:01
La que paga,US,iPhone,0,dah,,select,title_results,2022-09-21 14:46:58
La que paga,US,iPhone,0,sorry,Sorry to Bother You,play,title_results,2022-09-16 03:09:39
La que paga,US,iPhone,0,sorry,Sorry to Bother You,select,title_results,2022-09-16 03:09:33
La que paga,US,iPhone,0,how to ,Mean Girls,play,title_results,2022-09-15 02:40:50
La que paga,US,iPhone,0,how to ,Mean Girls,select,title_results,2022-09-15 02:40:48
La que paga,US,iPhone,0,how to ,,select,title_results,2022-09-15 00:35:01
La que paga,US,iPhone,0,cro,,select,title_results,2022-09-09 17:11:04
La que paga,US,iPhone,0,the cro,,select,title_results,2022-09-08 17:41:24
La que paga,US,iPhone,0,spirited away,Spirited Away,select,suggestion_results,2022-09-01 03:55:21
La que paga,US,iPhone,0,food,,select,title_results,2022-08-24 21:56:59
La que paga,US,iPhone,0,food,,select,title_results,2022-08-24 21:44:20
La que paga,US,iPhone,0,food,,select,title_results,2022-08-24 21:43:13
La que paga,US,iPhone,0,13,13TH,select,title_results,2022-08-19 01:54:20
La que paga,US,iPhone,0,13,13TH,select,title_results,2022-08-17 18:48:15
La que paga,US,iPhone,0,interior,,select,title_results,2022-08-07 21:06:35
La que paga,US,iPhone,0,42 grams,42 Grams,select,suggestion_results,2022-08-07 18:18:59
La que paga,US,iPhone,0,chefs,,select,title_results,2022-08-05 02:53:04
La que paga,US,iPhone,0,chefs,,select,title_results,2022-08-05 02:25:30
La que paga,US,iPhone,0,breaki,,select,title_results,2022-08-04 12:40:58
La que paga,US,iPhone,0,the great,The Great Hack,select,title_results,2022-07-20 14:42:27
La que paga,US,iPhone,0,13,13TH,select,title_results,2022-07-17 21:50:35
La que paga,US,iPhone,0,13,13TH,select,title_results,2022-07-17 15:39:14
La que paga,US,iPhone,0,solo,14 Peaks: Nothing Is Impossible,select,suggestion_results,2022-07-13 14:30:25
La que paga,US,iPhone,0,solo,Free Solo,select,suggestion_results,2022-07-13 14:30:17
La que paga,US,iPhone,0,voyager,Voyager,select,suggestion_results,2022-07-11 22:43:30
La que paga,US,iPhone,0,voyager,,select,title_results,2022-07-11 22:42:50
La que paga,US,iPhone,0,jeopardy ,,select,suggestion_results,2022-07-06 02:06:42
La que paga,US,iPhone,0,jeopardy ,,select,suggestion_results,2022-07-06 02:06:28
La que paga,US,iPhone,0,jeopardy ,,select,suggestion_results,2022-07-06 02:06:17
La que paga,US,iPhone,0,sorry,Sorry to Bother You,play,title_results,2022-06-20 20:06:23
La que paga,US,iPhone,0,sorry,Sorry to Bother You,select,title_results,2022-06-20 20:06:18
La que paga,US,iPhone,0,bill,"Monsters Inside: The 24 Faces of Billy Milligan: Limited Series: ""The Golden Age""",play,title_results,2022-05-22 04:18:39
La que paga,US,iPhone,0,bill,,select,title_results,2022-05-22 04:18:20
La que paga,US,iPhone,0,365,365 Days,select,title_results,2022-04-29 14:52:10
La que paga,US,iPhone,0,mac and ,Mac & Devin Go to High School,select,suggestion_results,2022-04-02 04:21:09
La que paga,US,iPhone,0,cheer,,select,title_results,2022-03-11 00:31:19
La que paga,US,iPhone,0,chain,Texas Chainsaw Massacre,select,title_results,2022-02-20 06:11:21
La que paga,US,iPhone,0,inais,"Inside Job: Part 1: ""Unpresidented""",play,title_results,2021-12-29 19:44:20
La que paga,US,iPhone,0,inais,,select,title_results,2021-12-29 19:44:15
La que paga,US,iPhone,0,the nightmare,The Nightmare Before Christmas,select,suggestion_results,2021-12-25 04:56:32
La que paga,US,iPhone,0,chicag,"Chicago Party Aunt: Part 1: ""Chicago Party Aunt""",play,title_results,2021-12-24 02:55:46
La que paga,US,iPhone,0,chicag,,select,title_results,2021-12-24 02:55:43
La que paga,US,iPhone,0,,"Selling Tampa: Season 1: ""Here Today, Gone Tomorrow""",play,prequery_results,2021-12-24 02:21:36
La que paga,US,iPhone,0,,,select,prequery_results,2021-12-24 02:21:25
La que paga,US,iPhone,0,,,select,prequery_results,2021-12-24 02:21:19
La que paga,US,HTML 5,0,selling tampa,"Selling Tampa: Season 1: ""When Agents Collide""",play,,2021-12-23 07:23:42
La que paga,US,iPhone,0,great hac,The Great Hack,select,title_results,2021-12-16 02:26:30
La que paga,US,iPhone,0,emily,,select,title_results,2021-12-09 15:45:49
La que paga,US,iPhone,0,start,,select,title_results,2021-12-04 14:39:58
La que paga,US,iPhone,0,dexter,,select,suggestion_results,2021-12-04 14:38:37
La que paga,US,iPhone,0,buddha,,select,suggestion_results,2021-11-23 04:10:15
La que paga,US,iPhone,0,buddha,The Buddha: The Story of Siddhartha,select,suggestion_results,2021-11-23 04:09:51
La que paga,US,iPhone,0,14 ,14 Peaks: Nothing Is Impossible,select,title_results,2021-11-23 04:08:27
La que paga,US,iPhone,0,somm,Uncorked,select,suggestion_results,2021-11-06 01:19:24
La que paga,US,iPhone,0,somm,Somm,select,suggestion_results,2021-11-06 01:19:17
La que paga,US,iPhone,0,chee,,select,title_results,2021-11-03 17:29:27
La que paga,US,iPhone,0,start,,select,title_results,2021-10-29 06:15:58
La que paga,US,iPhone,0,expl,"Explained: Season 3: ""Time""",play,title_results,2021-10-28 05:18:15
La que paga,US,iPhone,0,expl,,select,title_results,2021-10-28 05:15:08
La que paga,US,iPhone,0,bitcoin,Coded Bias,select,suggestion_results,2021-10-28 05:14:15
La que paga,US,iPhone,0,bitcoin,The Rise and Rise of Bitcoin,select,suggestion_results,2021-10-28 05:07:09
La que paga,US,iPhone,0,bitcoin,Banking on Bitcoin,select,suggestion_results,2021-10-28 05:04:11
La que paga,US,iPhone,0,bitcoin,Coin Heist,select,title_results,2021-10-28 05:03:55
La que paga,US,iPhone,0,13 ,,select,title_results,2021-09-12 02:53:13
La que paga,US,iPhone,0,gossip,,select,title_results,2021-09-10 03:08:14
La que paga,US,iPhone,0,ugly,,select,title_results,2021-09-01 03:14:04
La que paga,US,iPhone,0,design,,select,title_results,2021-08-31 20:08:21
La que paga,US,iPhone,0,design,,select,title_results,2021-08-31 20:08:14
La que paga,US,iPhone,0,mote,,select,title_results,2021-08-28 18:26:32
La que paga,US,iPhone,0,gre,"Grey's Anatomy: Season 1: ""A Hard Day's Night""",play,title_results,2021-08-11 19:16:56
La que paga,US,iPhone,0,gre,,select,title_results,2021-08-11 19:16:51
La que paga,US,iPhone,0,shrek,Puss in Boots,select,title_results,2021-08-07 21:34:21
La que paga,US,iPhone,0,alaska,,select,suggestion_results,2021-08-06 14:37:41
La que paga,US,iPhone,0,alaska,Alaska Is a Drag,select,title_results,2021-08-06 14:37:12
La que paga,US,iPhone,0,dmt the ,Behind the Curve,select,suggestion_results,2021-08-05 04:53:05
La que paga,US,iPhone,0,dmt the ,,select,suggestion_results,2021-08-05 04:52:48
La que paga,US,iPhone,0,dmt the ,,select,suggestion_results,2021-08-05 04:52:31
La que paga,US,iPhone,0,dmt the ,DMT: The Spirit Molecule,select,suggestion_results,2021-08-05 04:52:25
La que paga,US,iPhone,0,twil,Twilight,play,title_results,2021-07-27 04:44:44
La que paga,US,iPhone,0,twil,Twilight,select,title_results,2021-07-27 04:44:41
La que paga,US,iPhone,0,,,select,prequery_results,2021-07-24 21:05:12
La que paga,US,iPhone,0,,,select,prequery_results,2021-07-24 20:54:00
La que paga,US,iPhone,0,sex l,"Sex/Life: Season 1: ""Empire State of Mind""",play,title_results,2021-07-18 17:55:43
La que paga,US,iPhone,0,sex l,,select,title_results,2021-07-18 17:55:37
La que paga,US,iPhone,0,cooki,,select,title_results,2021-07-01 23:00:52
La que paga,US,iPhone,0,cooki,,select,title_results,2021-07-01 23:00:45
La que paga,US,Android Phone,0,pose,,select,prequery_results,2021-06-27 04:10:00
La que paga,US,iPhone,0,chopped,,select,suggestion_results,2021-06-22 03:20:39
La que paga,US,iPhone,0,chopped,,select,suggestion_results,2021-06-22 03:20:37
La que paga,US,iPhone,0,star,"StartUp: Season 3: ""Sweat Equity""",play,,2021-06-01 04:11:12
La que paga,US,iPhone,0,star,,select,,2021-06-01 04:11:04
La que paga,US,Android Phone,0,start up,,select,,2021-05-28 19:11:27
La que paga,US,Android Phone,0,start up,,select,,2021-05-28 19:11:23
La que paga,US,Android Phone,0,start up,,select,,2021-05-28 19:11:01
La que paga,MX,iPad,0,anne,,select,,2021-05-25 04:58:09
La que paga,US,iPhone,0,flowe,"The House of Flowers: Season 3: ""GERBERA (Symb. first love)""",play,,2021-05-23 03:05:01
La que paga,US,iPhone,0,flowe,,select,,2021-05-23 03:04:57
La que paga,US,iPhone,0,,"StartUp: Season 1: ""Seed Money""",play,,2021-05-18 15:04:07
La que paga,US,iPhone,0,,,select,,2021-05-18 15:04:04
La que paga,US,iPhone,0,santa cl,"Santa Clarita Diet: Season 1: ""So Then a Bat or a Monkey""",play,,2021-04-11 21:07:34
La que paga,US,iPhone,0,santa cl,,select,,2021-04-11 21:07:29
La que paga,US,iPhone,0,real est,"Million Dollar Beach House: Season 1: ""Selling Season""",play,,2021-04-06 01:29:03
La que paga,US,iPhone,0,real est,,select,,2021-04-06 01:28:59
La que paga,US,iPhone,0,real est,"Selling Sunset: Season 3: ""Back to Business""",play,,2021-04-06 01:27:31
La que paga,US,iPhone,0,real est,,select,,2021-04-06 01:26:17
La que paga,US,iPhone,0,money,"Money Heist: Part 1: ""Episode 1""",play,,2021-04-04 07:33:15
La que paga,US,iPhone,0,money,"Money Heist: Part 1: ""Episode 1""",play,,2021-04-04 07:32:10
La que paga,US,iPhone,0,money,,select,,2021-04-04 07:32:06
La que paga,US,iPhone,0,money,,select,,2021-04-04 07:32:02
La que paga,US,iPhone,0,money h,,select,,2021-04-04 07:10:28
La que paga,US,iPhone,0,la re,,select,,2021-03-30 01:43:55
La que paga,US,iPhone,0,stripper,Liberated: The New Sexual Revolution,play,,2021-03-27 18:05:22
La que paga,US,iPhone,0,stripper,Liberated: The New Sexual Revolution,select,,2021-03-27 18:05:16
La que paga,US,iPhone,0,stripper,Hot Girls Wanted,select,,2021-03-27 18:04:54
La que paga,US,iPhone,0,stripper,The After Party,select,,2021-03-27 18:04:42
La que paga,US,iPhone,0,love isl,,select,,2021-03-27 18:04:23
La que paga,US,iPad,0,norse,"Norsemen: Season 2: ""East vs West""",play,,2021-03-19 01:54:58
La que paga,US,iPad,0,norse,,select,,2021-03-19 01:51:35
La que paga,US,iPad,0,norse,,select,,2021-03-19 01:49:24
La que paga,US,iPad,0,mochi,,select,,2021-03-19 01:49:06
La que paga,US,iPhone,0,yoga,"Ram Dass, Going Home",select,,2021-02-28 03:50:10
La que paga,US,iPhone,0,plant medicine,The Truth About Alcohol,play,,2021-01-22 22:38:50
La que paga,US,iPhone,0,plant medicine,The Truth About Alcohol,select,,2021-01-22 22:38:46
La que paga,US,iPhone,0,plant medicine,Human Nature,select,,2021-01-22 22:38:33
La que paga,US,iPhone,0,plant medicine,Heal,select,,2021-01-22 22:38:23
La que paga,US,iPhone,0,dark t,,select,,2021-01-10 04:20:59
La que paga,US,iPhone,0,16 and ,,select,,2021-01-09 02:39:35
La que paga,US,Streaming Stick,0,j,,play,,2021-01-07 01:57:51
La que paga,US,Streaming Stick,0,j,,select,,2021-01-07 01:57:46
La que paga,US,Streaming Stick,0,pa,,select,,2020-12-20 01:39:57
La que paga,US,iPad,0,itaewon,,select,,2020-12-11 01:49:52
La que paga,US,Streaming Stick,0,itae,,add,,2020-12-11 01:22:20
La que paga,US,Streaming Stick,0,itae,,play,,2020-12-11 01:22:19
La que paga,US,Streaming Stick,0,itae,,select,,2020-12-11 01:22:16
La que paga,US,Streaming Stick,0,itae,,add,,2020-12-11 01:22:11
La que paga,US,Streaming Stick,0,itae,,play,,2020-12-11 01:22:09
La que paga,US,Streaming Stick,0,itae,,select,,2020-12-11 01:22:06
La que paga,US,iPhone,0,crip ,Crip Camp: A Disability Revolution,play,,2020-12-07 22:34:30
La que paga,US,iPhone,0,crip ,Crip Camp: A Disability Revolution,select,,2020-12-07 22:34:27
La que paga,US,Streaming Stick,0,je,,play,,2020-11-09 02:52:11
La que paga,US,Streaming Stick,0,je,,select,,2020-11-09 02:52:07
La que paga,US,Streaming Stick,0,tulum,Magnetic,play,,2020-11-07 17:25:14
La que paga,US,Streaming Stick,0,tulum,Magnetic,select,,2020-11-07 17:25:11
La que paga,US,Streaming Stick,0,tulum,Yucatán,play,,2020-11-07 17:24:50
La que paga,US,Streaming Stick,0,tulum,Yucatán,select,,2020-11-07 17:24:46
La que paga,US,iPad,0,café society ,,select,,2020-11-02 00:33:33
La que paga,US,iPhone,0,chica,The Trial of the Chicago 7,play,,2020-10-20 20:26:26
La que paga,US,iPhone,0,chica,The Trial of the Chicago 7,select,,2020-10-20 20:26:24
La que paga,US,iPhone,0,rebelde ,"Elite: Season 1: ""Desire""",play,,2020-10-14 20:53:45
La que paga,US,iPhone,0,rebelde ,,select,,2020-10-14 20:53:34
La que paga,US,iPhone,0,rebelde ,,select,,2020-10-14 20:53:05
La que paga,US,Streaming Stick,0,g,,play,,2020-10-08 06:08:33
La que paga,US,Streaming Stick,0,g,,play,,2020-10-08 06:07:47
La que paga,US,Streaming Stick,0,g,,select,,2020-10-08 06:07:43
La que paga,MX,Android Phone,0,budda,The Legend of Buddha,select,,2020-09-24 01:54:45
La que paga,US,iPad,0,goop,Heal,select,,2020-09-09 12:24:06
La que paga,US,iPad,0,goop,,select,,2020-09-09 12:23:47
La que paga,US,HTML 5,0,parks,,play,,2020-09-08 04:37:17
La que paga,US,iPad,0,oscuro,"Dark Desire: Season 1: ""Two Truths and One Lie""",play,,2020-09-05 05:34:18
La que paga,US,iPad,0,oscuro,,select,,2020-09-04 19:43:47
La que paga,US,iPhone,0,sham,"Shameless (U.S.): Season 10: ""We Few, We Lucky Few, We Band of Gallaghers!""",play,,2020-07-26 18:18:28
La que paga,US,iPhone,0,sham,,select,,2020-07-26 18:18:24
La que paga,US,HTML 5,0,the off,,play,,2020-07-08 01:32:09
La que paga,US,HTML 5,0,the off,,select,,2020-07-08 01:32:05
La que paga,US,iPhone,0,brea,"Breaking Bad: Season 1: ""Pilot""",play,,2020-07-05 02:32:32
La que paga,US,iPhone,0,brea,,select,,2020-07-05 02:32:29
La que paga,US,iPhone,0,somebo,"Somebody Feed Phil: Season 3: ""Chicago""",play,,2020-07-02 16:10:15
La que paga,US,iPhone,0,somebo,,select,,2020-07-02 16:10:05
La que paga,US,iPhone,0,park,"Parks and Recreation: Season 7: ""Donna & Joe""",play,,2020-07-01 04:02:01
La que paga,US,iPhone,0,park,,select,,2020-07-01 04:01:44
La que paga,US,iPhone,0,tacos,,select,,2020-06-28 04:21:48
La que paga,US,iPhone,0,tacos,,select,,2020-06-28 04:21:14
La que paga,US,iPhone,0,yoga ,On Yoga: The Architecture of Peace,add,,2020-06-20 17:52:04
La que paga,US,iPhone,0,yoga ,On Yoga: The Architecture of Peace,select,,2020-06-20 17:52:01
La que paga,US,iPhone,0,yoga ,On Yoga: The Architecture of Peace,select,,2020-06-20 17:50:36
La que paga,US,HTML 5,0,13,13TH,play,,2020-06-01 01:51:25
La que paga,US,HTML 5,0,13,13TH,play,,2020-05-31 23:23:48
La que paga,US,HTML 5,0,13,13TH,select,,2020-05-31 23:23:45
La que paga,US,HTML 5,0,patriot,,play,,2020-05-30 23:37:33
La que paga,US,HTML 5,0,enter the void,Love,play,,2020-05-17 03:36:28
La que paga,US,Streaming Stick,0,the not,Dear John,select,,
La que paga,US,Streaming Stick,0,the not,Dear John,play,,
La que paga,US,HTML 5,0,goop,,play,,
La que paga,US,HTML 5,0,goop,,play,,
