Esn,Localized Device Description,Device Description,Ip,Country,Region Code Display Name,Near Location,Ts
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:2487:ad59:c8df:7eb4:284b,MX,Morelos,TEMIXCO,2022-12-26 23:26:18
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.40.223,MX,Morelos,LOMA FLORIDA,2022-12-27 14:47:53
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:78e2:b0ce:64d9:ba21:d53b,MX,Morelos,LA CRUZ,2023-07-12 22:59:43
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:5e6a:8c98:14bf:fce7:f762,MX,Morelos,JIUTEPEC,2023-03-18 01:46:01
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:785b:ac8a:efb6:4a74:101b,MX,Morelos,CUAUTLA DE MORELOS,2023-03-05 16:46:26
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.42.224,MX,Morelos,JOJUTLA,2023-03-18 23:58:28
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.42.32,MX,Morelos,TEJALPA,2023-04-12 16:33:35
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:966b:e0b5:1737:6e46:ac39,MX,Morelos,ALPUYECA,2023-06-20 00:30:53
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:99ec:8c0b:b375:8a0b:aa1d,MX,Morelos,YAUTEPEC,2023-05-05 00:07:02
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:a794:3c02:4455:e6c0:1974,MX,Morelos,TEZOYUCA,2023-06-03 01:14:04
